Path,Surface(micron2),Phase_PV(nm),Phase_StdDev(nm),Phase_avg(nm),Phase_median(nm),Surface_density(pg/micron2),Dry_mass(pg),Optical_volume(micron3),Phase_max(nm),Phase_min(nm),Circularity,Perimeter(micron),Ellipse_axis_ratio,Convexity,Solidity,Surface_Centroid_X,Surface_Centroid_Y,Mass_Centroid_X,Mass_Centroid_Y
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0014.tif,733.784,537.051,177.132,260.121,275.931,1.445,1060.402,190.872,537.93,0.879,0.8,107.347,0.859,0.779,0.864,196.363,155.6,195.714,154.881
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0015.tif,846.042,522.69,162.115,225.252,223.559,1.251,1058.737,190.573,515.001,-7.689,0.746,119.346,0.938,0.763,0.856,197.402,155.344,196.037,155.077
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0016.tif,481.34,550.719,139.979,237.933,265.429,1.322,636.259,114.527,555.747,5.029,0.72,91.647,0.583,0.779,0.814,188.247,159.798,190.063,159.158
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0016.tif,451.77,367.144,113.013,159.45,147.521,0.886,400.193,72.035,367.715,0.571,0.537,102.786,0.692,0.738,0.697,208.571,150.806,207.562,149.819
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0017.tif,192.208,413.04,129.367,182.365,173.491,1.013,194.733,35.052,418.812,5.772,0.747,56.87,0.677,0.784,0.782,180.667,146.35,183.037,146.679
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0017.tif,827.971,550.618,116.461,184.119,190.352,1.023,846.919,152.445,543.087,-7.531,0.574,134.634,0.687,0.693,0.792,200.177,160.136,198.783,159.282
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0018.tif,206.445,351.55,102.614,169.718,168.607,0.943,194.653,35.037,357.201,5.651,0.772,57.983,0.558,0.802,0.802,183.889,147.279,184.469,148.125
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0018.tif,383.868,518.598,135.748,199.639,193.653,1.109,425.75,76.635,523.704,5.106,0.505,97.706,0.614,0.741,0.706,189.194,168.809,188.865,168.495
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0018.tif,496.673,352.948,110.034,146.696,132.884,0.815,404.776,72.86,352.715,-0.232,0.621,100.28,0.851,0.765,0.792,212.333,155.168,210.883,154.457
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0019.tif,432.604,468.431,128.606,176.57,152.027,0.981,424.361,76.385,467.881,-0.55,0.802,82.327,0.896,0.766,0.838,185.392,172.07,184.662,171.628
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0019.tif,268.872,360.124,106.889,151.099,132.204,0.839,225.701,40.626,357.479,-2.645,0.811,64.528,0.728,0.775,0.822,183.817,147.741,183.549,147.411
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0019.tif,503.244,313.237,100.023,134.095,123.68,0.745,374.904,67.483,308.686,-4.552,0.485,114.145,0.848,0.716,0.694,213.742,152.091,212.525,152.346
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0020.tif,280.919,282.817,89.069,144.339,146.218,0.802,225.264,40.547,284.171,1.355,0.655,73.393,0.543,0.767,0.794,181.959,145.657,182.626,146.04
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0020.tif,517.482,449.917,115.225,149.99,130.11,0.833,431.206,77.617,442.928,-6.989,0.652,99.902,0.864,0.74,0.787,185.165,171.457,184.179,172.052
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0020.tif,559.1,288.052,83.97,118.503,111.692,0.658,368.083,66.255,286.477,-1.575,0.513,117.064,0.718,0.717,0.738,215.056,150.702,214.512,150.267
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0021.tif,548.695,417.282,105.273,139.656,121.061,0.776,425.713,76.628,414.373,-2.909,0.599,107.298,0.825,0.73,0.779,184.803,173.144,183.808,172.478
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0021.tif,348.821,244.456,71.835,117.938,122.183,0.655,228.551,41.139,245.314,0.859,0.686,79.937,0.701,0.766,0.787,182.983,146.017,183.092,146.427
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0021.tif,694.904,242.623,67.827,95.493,90.332,0.531,368.659,66.359,243.048,0.426,0.514,130.341,0.715,0.708,0.767,217.358,148.471,215.578,149.14
